domain,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
www.digitaljournal.com,-0.10254132231404958,0.21450037191562904,0.37145316804407713,0.15884895154705825,5.0
www.irishtimes.com,0.14999074074074076,0.20763718670593426,0.43479012345679013,0.1379846393886264,5.0
www.the-independent.com,0.05133333333333333,0.11109555446651419,0.19525,0.14690664552701488,5.0
www.techradar.com,0.06411525974025975,0.13421585772748656,0.38988419913419914,0.16025848782402038,5.0
www.project-syndicate.org,0.05766381766381766,0.06853222538237813,0.3271652421652421,0.0968250761559344,5.0
dailycaller.com,-0.15094444444444444,0.13445500417666925,0.5973888888888889,0.14649632363819295,5.0
www.geeky-gadgets.com,0.18223809523809523,0.23648692513464076,0.4723809523809524,0.2837661759801289,5.0
e360.yale.edu,0.08714826839826839,0.16972619330901945,0.545,0.21027169882754954,5.0
www.foxnews.com,-0.09986717372134037,0.6045187328112046,0.6732567239858906,0.24405752197886352,4.0
peoplesreview.com.np,0.10571022727272728,0.28499689439067194,0.3130965909090909,0.19331268684432598,4.0
oilprice.com,0.15341198979591836,0.24231046841138704,0.6413456632653061,0.1360020786456177,4.0
news.sky.com,-0.05637175324675324,0.19790812979254016,0.3002637987012987,0.04486942580428503,4.0
www.sciencealert.com,0.12285596348096348,0.13038877405837856,0.45612651237651236,0.12495822397802231,4.0
slashdot.org,-0.0361952861952862,0.07915955666291445,0.46897095959595964,0.10718311932390878,4.0
english.gossiplankanews.com,0.09055089255982114,0.105653032924576,0.44090807505986074,0.08910690081624018,4.0
cheezburger.com,0.06514847132034632,0.1281783566912373,0.3984686147186147,0.07462292677753805,4.0
www.vox.com,0.18859953703703702,0.02390880997191153,0.3838888888888889,0.20447161655180565,4.0
consent.yahoo.com,-0.0953125,0.059375,0.36875,0.01250000000000001,4.0
www.wired.com,0.34232489292013096,0.31078390682603624,0.5538926681783826,0.045263141489355015,3.0
agwired.com,0.20738636363636362,0.06191617817529366,0.38573232323232326,0.11755145438972625,3.0
everything-everywhere.com,0.10025252525252526,0.3216123983016714,0.3976010101010101,0.16088915753761013,3.0
www.breitbart.com,-0.13888888888888892,0.42568028343312275,0.48548280423280427,0.2682103846067351,3.0
apnews.com,0.022279541446208112,0.063284253078914,0.659753086419753,0.10313689900314715,3.0
